published_at,day_of_week,story_id,unique_viewers_diff,net_proceeds_video,avg_time_spent_per_user,unique_topsnaps_peruser,completion_rate,drop_off_rate,unique_completers_diff,unique_topsnap_views_diff,shares_diff,screenshots_diff,subscribers_diff,avg_shares,avg_screenshots,avg_subscribers,channels,day_name
2022-03-06 20:00:05,0,2953490305902593,1180573,8607.859213,85.692407,13.587151357142858,0.074355692,0.241099,92978,16576714,814,5520,8003,116.28571428571428,788.5714285714286,1143.2857142857142,channel_1c,Sunday
2021-09-30 19:00:21,4,2779742531723264,1862158,3561.5554910625006,49.81951571428572,9.63551442857143,0.0939085207142857,0.24503529,198112,19499121,983,2716,15252,140.42857142857144,388.0,2178.8571428571427,channel_2d,Thursday
2021-10-07 19:00:38,4,3278922192275456,4534285,13445.667818625,67.83734371428572,14.724066571428573,0.1592312085714285,0.20647292,733160,69528203,5865,29322,76938,837.8571428571429,4188.857142857143,10991.142857142857,channel_2d,Thursday
2021-10-14 19:00:54,4,1682431546015744,1963267,6586.070967562499,87.35068785714286,16.90092842857143,0.1815765528571428,0.23032278,371680,33139694,875,12599,18113,125.0,1799.8571428571431,2587.5714285714284,channel_2d,Thursday
2021-10-21 19:00:39,4,3274526657562624,1734099,4112.4550415625,59.16820342857143,13.685857928571428,0.1317872928571428,0.20255794,216528,23360678,1160,13168,10708,165.71428571428572,1881.142857142857,1529.7142857142858,channel_2d,Thursday
2021-11-04 19:00:43,4,2651105850406912,2027754,4315.5013395000005,61.00401328571429,8.988234285714286,0.2598562671428571,0.26504928,544004,18590145,127,1697,13678,18.142857142857142,242.4285714285714,1954.0,channel_2d,Thursday
2021-12-27 20:00:40,1,1818784260448256,3395407,10958.471702625,72.19502714285714,15.847761928571428,0.1565190742857142,0.19692034,525136,53824988,4600,28442,51807,657.1428571428572,4063.142857142857,7401.0,channel_2d,Monday
2022-01-06 20:00:15,4,1822085260412928,2134076,3915.2815700624997,86.63355942857143,18.55178214285714,0.27886083,0.12644038,585166,39334366,611,3393,22632,87.28571428571429,484.7142857142858,3233.1428571428573,channel_2d,Thursday
2022-01-27 20:06:15,4,1822089144711168,2082101,4884.7764084375,63.18432785714287,15.456394071428573,0.1621657785714285,0.24447623,323047,31246640,2892,18772,22944,413.1428571428572,2681.7142857142853,3277.714285714286,channel_2d,Thursday
2022-03-07 11:15:55,1,2953493000462336,1604989,5311.45234275,78.09466985714285,15.573671928571429,0.2086227314285714,0.26612943,329535,24644947,1566,44998,30413,223.7142857142857,6428.285714285715,4344.714285714286,channel_2d,Monday
