published_at,day_of_week,story_id,unique_viewers_diff,net_proceeds_video,avg_time_spent_per_user,unique_topsnaps_peruser,completion_rate,drop_off_rate,unique_completers_diff,unique_topsnap_views_diff,shares_diff,screenshots_diff,subscribers_diff,avg_shares,avg_screenshots,avg_subscribers,channels,day_name
2022-01-02 20:00:26,0,2547760453584896,868752,2476.6870875,87.0018052857143,16.042032000000003,0.0836548378571428,0.36957186,72607,13940250,474,1863,1735,67.71428571428571,266.1428571428572,247.8571428571429,channel_1c,Sunday
2022-01-03 20:00:02,1,3209666455414784,692323,2552.4510185000004,68.615403,15.418775142857143,0.1479333671428571,0.2636199,104959,10783216,475,1122,1194,67.85714285714286,160.28571428571428,170.57142857142858,channel_1c,Monday
2022-01-07 20:00:41,5,595027632816128,783509,2606.6926224999997,84.42343814285714,14.880868142857144,0.0938827164285714,0.25505346,74914,11852042,213,2050,1644,30.42857142857143,292.8571428571429,234.8571428571429,channel_1c,Friday
2022-01-19 20:00:24,3,987558047627264,1621194,14412.453732,78.63856666666666,13.166294555555556,0.3501251233333333,0.23641773,550771,20983161,2085,4919,21717,231.66666666666663,546.5555555555555,2413.0,channel_1c,Wednesday
2022-02-06 20:00:34,0,2389435927287808,875128,5349.6338375,75.88508928571427,13.869768357142858,0.0920594005714285,0.24184251,84787,12422885,147,1958,2082,21.000000000000004,279.7142857142857,297.42857142857144,channel_1c,Sunday
2022-02-11 20:00:22,5,2389437987287040,714850,4322.626892,79.86999057142857,14.032443571428573,0.0585708441428571,0.27574813,41354,10153042,164,1233,2336,23.42857142857143,176.14285714285714,333.7142857142857,channel_1c,Friday
2022-02-13 19:00:00,0,987559307218944,761431,4381.633163999999,58.391812,10.636105714285716,0.1252267505714286,0.24930736,99758,8261346,94,1131,1303,13.42857142857143,161.57142857142858,186.1428571428572,channel_1c,Sunday
2022-03-06 20:00:05,0,2953490305902593,1180573,8607.859213,85.692407,13.587151357142858,0.074355692,0.241099,92978,16576714,814,5520,8003,116.28571428571428,788.5714285714286,1143.2857142857142,channel_1c,Sunday
2022-01-06 20:00:15,4,1822085260412928,2134076,3915.2815700624997,86.63355942857143,18.55178214285714,0.27886083,0.12644038,585166,39334366,611,3393,22632,87.28571428571429,484.7142857142858,3233.1428571428573,channel_2d,Thursday
2022-01-27 20:06:15,4,1822089144711168,2082101,4884.7764084375,63.18432785714287,15.456394071428573,0.1621657785714285,0.24447623,323047,31246640,2892,18772,22944,413.1428571428572,2681.7142857142853,3277.714285714286,channel_2d,Thursday
2022-03-07 11:15:55,1,2953493000462336,1604989,5311.45234275,78.09466985714285,15.573671928571429,0.2086227314285714,0.26612943,329535,24644947,1566,44998,30413,223.7142857142857,6428.285714285715,4344.714285714286,channel_2d,Monday
2022-01-09 11:30:09,0,1822085589616640,397509,1448.5729540000002,96.84675,12.958009714285714,0.4083337057142857,0.1963007,152167,5011260,5511,1782,3605,787.2857142857143,254.57142857142856,515.0,channel_6g,Sunday
2022-01-23 11:30:29,0,1822088062722048,1667910,10690.0049675,74.74656666666667,10.488903888888888,0.2679637,0.15664706,412156,16957899,10289,4173,21075,1143.2222222222224,463.6666666666667,2341.6666666666665,channel_6g,Sunday
2022-02-06 11:30:50,0,1822090565799936,393979,1973.5511740000002,53.57264228571428,7.698622971428571,0.1555222814285714,0.1816207,61594,3137108,1172,821,1426,167.42857142857142,117.28571428571428,203.7142857142857,channel_6g,Sunday
2022-02-27 11:30:39,0,1380090255159296,584767,2026.1398325,75.65909142857143,9.630869714285716,0.2747148014285714,0.21717095,128355,5127482,4203,1762,5097,600.4285714285714,251.7142857142857,728.1428571428572,channel_6g,Sunday
2022-02-01 20:06:22,2,1822090026037248,2272343,6777.9413856,97.97369,13.23253192857143,0.3540916457142857,0.1958578,815417,30289618,633,2816,60063,90.42857142857144,402.2857142857143,8580.42857142857,channel_4r,Tuesday
2022-03-08 15:00:38,2,347650937772032,1463605,3610.3651276,79.91813057142858,11.909069428571428,0.20958357,0.23370712,302963,17290866,3756,6063,44354,536.5714285714286,866.1428571428572,6336.285714285715,channel_4r,Tuesday
2022-01-02 20:00:39,0,3209665408968704,3890164,5376.34738245,99.7703172857143,13.480004571428571,0.4371364885714285,0.21415067,1678273,52007854,834,8209,31020,119.14285714285715,1172.714285714286,4431.428571428572,channel_3s,Sunday
2022-01-09 20:00:52,0,1822085584529408,12033495,7606.3186239,71.1476007142857,10.088480714285712,0.3063298814285714,0.29471204,3228414,112713519,165945,24431,147154,23706.42857142857,3490.1428571428573,21022.000000000004,channel_3s,Sunday
2022-01-23 20:00:59,0,1822087922833408,7302588,11680.435783949999,85.59003,11.698527222222223,0.26486354,0.2927021,1871553,83862694,13820,32438,133714,1535.5555555555557,3604.222222222222,14857.111111111111,channel_3s,Sunday
2022-02-13 20:00:24,0,1380088110295040,3447571,6558.174559349999,74.78859228571429,11.389015785714284,0.2737806942857143,0.23006849,914302,38302966,4880,7386,49942,697.1428571428572,1055.142857142857,7134.571428571429,channel_3s,Sunday
2022-02-16 20:00:48,3,347647430852608,4357928,9994.4478762,87.003536,11.420158285714283,0.2372962,0.23494676,917752,46594704,1132,6845,18425,161.71428571428572,977.8571428571428,2632.1428571428573,channel_3s,Wednesday
