published_at,day_of_week,story_id,unique_viewers_diff,net_proceeds_video,avg_time_spent_per_user,unique_topsnaps_peruser,completion_rate,drop_off_rate,unique_completers_diff,unique_topsnap_views_diff,shares_diff,screenshots_diff,subscribers_diff,avg_shares,avg_screenshots,avg_subscribers,channels,day_name
2021-10-10 19:00:52,0,471868871964672,276505,845.795538,67.1810542857143,12.334057571428572,0.1932596671428571,0.2665463,55687,3482745,60,1082,214,8.571428571428571,154.57142857142856,30.571428571428577,channel_1c,Sunday
2021-10-11 19:00:19,1,3310805229707264,924739,3365.567632500001,75.1192417142857,12.927286571428573,0.0305995322857142,0.22206376,30568,12369388,105,1662,704,15.0,237.42857142857144,100.57142857142858,channel_1c,Monday
2021-10-13 19:00:38,3,2710475605002240,228495,1055.3637569999999,80.91506928571428,14.14335457142857,0.1424634942857142,0.18619938,34645,3333275,24,522,128,3.428571428571429,74.57142857142858,18.28571428571429,channel_1c,Wednesday
2021-10-14 19:00:34,4,479566667270144,564252,2964.9915235,87.58607071428573,14.436753071428573,0.0956186057142857,0.21396033,57065,8411201,129,1693,593,18.42857142857143,241.85714285714283,84.71428571428572,channel_1c,Thursday
2021-10-15 19:00:25,5,1977100485472256,392611,1760.9860499999998,69.79774485714286,13.648320857142858,0.1310927942857142,0.2472375,55614,5627930,98,1067,355,14.000000000000002,152.42857142857142,50.71428571428572,channel_1c,Friday
2021-10-17 19:00:22,0,2880897977004032,405603,1026.5961915,66.52573585714286,11.810000357142856,0.1610151657142857,0.23459134,68223,4893484,28,492,445,4.0,70.28571428571429,63.57142857142857,channel_1c,Sunday
2021-10-18 19:00:48,1,3364676853018624,277262,2891.2803569999996,92.02518628571428,16.972208714285713,0.1487924614285714,0.3941014,44777,4947692,90,523,188,12.857142857142858,74.71428571428571,26.85714285714285,channel_1c,Monday
2021-10-20 19:00:29,3,2994150675666944,264651,526.3606925,59.12818085714286,10.543798428571428,0.1890635157142857,0.23553422,52510,2871328,42,344,271,6.0,49.142857142857146,38.71428571428572,channel_1c,Wednesday
2021-10-21 19:00:15,4,206888687171584,207091,1766.7455055,45.81216757142857,10.486891571428572,0.2223727685714286,0.32144883,48358,2247422,40,221,115,5.714285714285714,31.571428571428573,16.42857142857143,channel_1c,Thursday
2021-10-22 19:00:57,5,1132678006685696,106688,261.34743749999996,41.10339328571428,7.990711571428571,0.2480272728571428,0.21719304,27949,879956,40,255,42,5.714285714285714,36.42857142857143,6.0,channel_1c,Friday
2021-10-24 19:00:11,0,1386664846536704,245525,743.2128174999999,64.59390328571429,11.700050142857144,0.1528803157142857,0.25600186,38276,2916590,61,526,139,8.714285714285715,75.14285714285714,19.85714285714285,channel_1c,Sunday
2021-10-25 19:00:30,1,206888704622592,221263,1771.1346230000001,106.09480542857142,18.67036557142857,0.1278729964285714,0.24324751,30540,4316250,61,561,157,8.714285714285714,80.14285714285715,22.42857142857143,channel_1c,Monday
2021-10-27 19:00:02,3,564231372601344,298543,692.492449,46.02450657142857,9.046424657142856,0.1656771557142857,0.2664141,50726,2735869,94,642,236,13.42857142857143,91.71428571428572,33.71428571428572,channel_1c,Wednesday
2021-10-28 19:00:51,4,1846260682072064,202268,3158.6119590000008,74.49491400000001,15.035052714285714,0.1400859214285714,0.23806855,29615,3136279,268,446,344,38.285714285714285,63.71428571428572,49.142857142857146,channel_1c,Thursday
2021-10-29 19:00:45,5,2659898399297536,356843,1902.7313175000002,85.590108,16.85961357142857,0.0568089742857142,0.24625792,22510,6475301,120,723,276,17.142857142857146,103.28571428571428,39.42857142857143,channel_1c,Friday
2021-10-31 19:00:30,0,1397661697777664,686751,1845.608225,52.467062,9.956209571428571,0.1506114914285714,0.22092506,107671,6981227,32,782,764,4.571428571428572,111.71428571428574,109.14285714285714,channel_1c,Sunday
2021-11-01 20:02:17,1,697272805122048,632819,3717.7290095000003,105.80892371428573,19.397567428571428,0.0550481198571428,0.22841257,35876,12533476,176,1309,1030,25.142857142857142,187.0,147.14285714285717,channel_1c,Monday
2021-11-03 19:00:02,3,18874832531456,292183,880.0775725000001,61.43915785714285,11.919255214285714,0.1860883614285714,0.21039605,57614,3573945,46,432,630,6.571428571428572,61.71428571428571,90.0,channel_1c,Wednesday
