published_at,day_of_week,unique_viewers_diff,net_proceeds_video,avg_time_spent_per_user,unique_topsnaps_peruser,completion_rate,drop_off_rate,unique_completers_diff,unique_topsnap_views_diff,shares_diff,screenshots_diff,subscribers_diff,avg_shares,avg_screenshots,avg_subscribers,channels,day_name
2022-01-24 20:00:52,1,789654,2416.7988404999996,62.28719677777779,11.745194777777776,0.1010178326666666,0.242947,88727,9776064,126,1630,1252,13.999999999999998,181.11111111111111,139.11111111111111,channel_1c,Monday
2022-01-26 20:00:53,3,468866,1720.2326,59.31861842857143,10.939234142857142,0.2093783871428571,0.23230766,99515,5215679,56,905,638,8.0,129.2857142857143,91.14285714285714,channel_1c,Wednesday
2022-01-28 20:00:12,5,483210,1926.2649580000002,65.28969857142857,12.077769142857145,0.1425490334285714,0.19133067,70205,5950924,140,844,672,20.0,120.57142857142856,96.0,channel_1c,Friday
2022-01-30 20:00:22,0,1017813,4882.3201225,73.384683,12.527679285714283,0.1008233477142857,0.22881849,106077,13077452,323,1718,3378,46.142857142857146,245.4285714285714,482.5714285714287,channel_1c,Sunday
2022-02-02 20:00:27,3,198774,796.1232174999999,50.85341185714285,8.140276071428573,0.2229911971428571,0.31849083,45461,1644826,53,407,139,7.57142857142857,58.142857142857146,19.857142857142858,channel_1c,Wednesday
2022-02-04 20:00:06,5,221865,985.204171,52.655140714285714,9.060437071428572,0.1793274228571428,0.3214121,42348,2116058,48,525,610,6.857142857142858,75.0,87.14285714285715,channel_1c,Friday
2022-02-06 20:00:34,0,875128,5349.6338375,75.88508928571427,13.869768357142858,0.0920594005714285,0.24196585,84787,12422885,147,1958,2082,21.000000000000004,279.7142857142857,297.42857142857144,channel_1c,Sunday
2022-02-09 20:00:15,3,152218,545.0483634999999,39.81420828571429,6.744300985714286,0.1436095742857142,0.31196696,22693,1055473,53,255,62,7.57142857142857,36.42857142857143,8.857142857142858,channel_1c,Wednesday
2022-02-11 20:00:22,5,714850,4322.626892,79.86999057142857,14.032443571428573,0.0585708441428571,0.27574813,41354,10153042,164,1233,2336,23.42857142857143,176.14285714285714,333.7142857142857,channel_1c,Friday
2022-02-13 19:00:00,0,761431,4381.633163999999,58.391812,10.636105714285716,0.1252267505714286,0.24930736,99758,8261346,94,1131,1303,13.42857142857143,161.57142857142858,186.1428571428572,channel_1c,Sunday
2022-02-16 20:00:32,3,365627,2067.2467150000007,67.56703757142859,10.460581285714284,0.1712163228571428,0.22703893,63734,3874570,127,772,582,18.142857142857142,110.2857142857143,83.14285714285714,channel_1c,Wednesday
2022-02-18 20:00:26,5,537002,2541.7601185000003,55.16647371428572,10.014610285714284,0.1108320485714285,0.28837484,60949,5474166,128,1060,596,18.285714285714285,151.42857142857144,85.14285714285715,channel_1c,Friday
2022-02-20 20:00:08,0,426105,2334.6407855,64.68776214285714,12.320760142857145,0.1050755122857142,0.272204,47331,5465339,70,857,437,10.000000000000002,122.42857142857144,62.42857142857143,channel_1c,Sunday
